partida_id,clube,cartao,atleta,posicao,minuto
4987,Chapecoense,Amarelo,Rafael Lima,Zagueiro,73
4987,Coritiba,Amarelo,Leandro Almeida,Zagueiro,29
4988,Palmeiras,Amarelo,Gabriel Girotto Franco,Meio-campo,22
4988,Atletico-MG,Amarelo,Josué Anunciado de Oliveira,Meio-campo,75
4988,Atletico-MG,Amarelo,Jô,Atacante,23
4989,Fluminense,Amarelo,Wagner Ferreira dos Santos,,73
4987,Chapecoense,Amarelo,Bruno César Pereira da Silva,,82
4987,Coritiba,Amarelo,Hélder,Meio-campo,70
4988,Palmeiras,Amarelo,Róbson Michael Signorini,Meio-campo,51
4988,Atletico-MG,Amarelo,Pedro Botelho,Zagueiro,90+6
4988,Atletico-MG,Amarelo,Patric Cabral Lalau,Zagueiro,30
4989,Fluminense,Amarelo,Vinícius,,80
4989,Joinville,Amarelo,Marinaldo dos Santos Oliveira,Meio-campo,13
4989,Joinville,Vermelho,Marinaldo dos Santos Oliveira,Meio-campo,24
4990,Gremio,Amarelo,Walace,Meio-campo,67
4990,Gremio,Amarelo,Rafael Galhardo,Zagueiro,30
4990,Ponte Preta,Amarelo,Josimar,Meio-campo,69
4990,Ponte Preta,Amarelo,Rildo de Andrade Felicissimo,Atacante,29
4991,Athletico-PR,Amarelo,Carlos Eduardo Santos Oliveira,Zagueiro,57
4991,Internacional,Amarelo,Adniellyson da Silva Oliveira,Meio-campo,62
4992,Sao Paulo,Amarelo,Hudson,Meio-campo,30
4993,Cruzeiro,Amarelo,Willians Domingos Fernandes,Meio-campo,59
4993,Cruzeiro,Amarelo,Gabriel Xavier,Meio-campo,20
4994,Sport,Amarelo,Régis,,84
4994,Figueirense,Amarelo,Marquinhos Pedroso,Zagueiro,40
4995,Avai,Amarelo,Eltinho,Zagueiro,90+5
4995,Santos,Amarelo,Neuciano Gusmão,,87
4996,Vasco,Amarelo,Christianno,Zagueiro,68
4996,Vasco,Amarelo,Dagoberto Pelentier,Meio-campo,33
4996,Goias,Amarelo,Rafael Forster,Zagueiro,83
4996,Goias,Amarelo,Ygor Maciel Santiago,Meio-campo,40
4990,Ponte Preta,Vermelho,Tiago dos Santos Alves,Zagueiro,89
4995,Santos,Vermelho,Gustavo Henrique Vernes,,90+4
4990,Gremio,Amarelo,Yuri Mamute,Atacante,55
4990,Ponte Preta,Amarelo,Renato Cajá,Meio-campo,72
4990,Ponte Preta,Amarelo,Tiago dos Santos Alves,Zagueiro,49
4990,Ponte Preta,Amarelo,Biro-Biro,Atacante,9
4991,Internacional,Amarelo,Alan Ruschel,Zagueiro,90
4992,Sao Paulo,Amarelo,Paulo Henrique Ganso,,48
4992,Flamengo,Amarelo,Lucas Mugni,,76
4993,Cruzeiro,Amarelo,Charles Fernando Basílio da Silva,Meio-campo,31
4993,Corinthians,Amarelo,Edílson Mendes Guimarães,Zagueiro,7
4994,Figueirense,Amarelo,Nirley da Silva Fonseca,Zagueiro,60
4994,Figueirense,Amarelo,Bruno Alves,Zagueiro,22
4995,Avai,Amarelo,Anderson Lopes,Atacante,72
4995,Santos,Amarelo,Gustavo Henrique Vernes,,63
4996,Vasco,Amarelo,Luan Garcia Teixeira,Zagueiro,38
4996,Goias,Amarelo,Alex Alves Cardoso,Zagueiro,89
4996,Goias,Amarelo,Felipe Macedo,Zagueiro,52
4996,Goias,Amarelo,Wesley,Atacante,32
4994,Figueirense,Vermelho,Bruno Alves,Zagueiro,77
4997,Goias,Amarelo,Wiliam Kozlowski,,76
4997,Athletico-PR,Amarelo,Kadu,Zagueiro,34
4998,Coritiba,Amarelo,Ruy Franco de Almeida Junior,Meio-campo,6
4998,Gremio,Amarelo,Maicon,Meio-campo,51
4999,Corinthians,Amarelo,Emerson Sheik,,83
4999,Chapecoense,Amarelo,Bruno César Pereira da Silva,Meio-campo,45+1
4999,Chapecoense,Amarelo,Ananias Elói Castro Monteiro,Meio-campo,33
4997,Goias,Amarelo,Péricles da Silva Nunes,Meio-campo,25
4998,Coritiba,Amarelo,Norberto Pereira Marinho Neto,Zagueiro,45+2
4998,Gremio,Amarelo,Pedro Geromel,Zagueiro,58
4998,Gremio,Amarelo,Marcelo Oliveira Ferreira,Meio-campo,17
4999,Corinthians,Amarelo,Ralf de Souza Teles,Meio-campo,66
4999,Chapecoense,Amarelo,Roger Rodrigues da Silva,Atacante,45+1
4999,Chapecoense,Amarelo,Apodi,Zagueiro,26
4997,Athletico-PR,Vermelho,Jadson,Meio-campo,88
5002,Flamengo,Amarelo,Jonas Gomes de Sousa,Meio-campo,19
5002,Sport,Amarelo,Diego Souza,Meio-campo,90+7
5003,Santos,Amarelo,Francisco Souza dos Santos,Zagueiro,66
5003,Cruzeiro,Amarelo,Bruno Rodrigo,Zagueiro,84
5003,Cruzeiro,Amarelo,Willians Domingos Fernandes,Meio-campo,65
5004,Joinville,Amarelo,Mario Sérgio,Zagueiro,37
5004,Palmeiras,Amarelo,Leandro,Atacante,53
5005,Sao Paulo,Amarelo,Luís Fabiano,,90+4
5005,Sao Paulo,Amarelo,Paulo Henrique Ganso,Meio-campo,59
5006,Internacional,Amarelo,Taiberson Ruan Menezes Nunes,Meio-campo,45
5006,Avai,Amarelo,Marquinhos Santos,Atacante,90+3
5006,Avai,Amarelo,Emerson dos Santos da Silva,Zagueiro,86
5006,Avai,Amarelo,Nino Paraíba,Zagueiro,62
5006,Avai,Amarelo,Antonio Carlos Capocasali,Zagueiro,10
5000,Figueirense,Amarelo,Leandro Silva,Zagueiro,90+4
5000,Vasco,Amarelo,Pablo Guiñazú,Meio-campo,77
5000,Vasco,Amarelo,Dagoberto Pelentier,Meio-campo,68
5000,Vasco,Amarelo,Rafael Silva dos Santos,Meio-campo,59
