partida_id,rodada,data,hora,mandante,visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
4987,1,2015-05-09,18:32:00,Chapecoense,Coritiba,V. Eutrópio,M. dos Santos Gonçalves,Chapecoense,Arena Condá,2,1,SC,PR
4988,1,2015-05-09,18:33:00,Palmeiras,Atletico-MG,O. de Oliveira Filho,L. Culpi,-,Allianz Parque,2,2,SP,MG
4989,1,2015-05-09,21:00:00,Fluminense,Joinville,S. Drubscky de Campos,H. Maria,Fluminense, Maracanã,1,0,RJ,SC
4990,1,2015-05-10,11:00:00,Gremio,Ponte Preta,L. Scolari,A. Ferreira,-,Arena do Grêmio,3,3,RS,SP
4991,1,2015-05-10,16:00:00,Athletico-PR,Internacional,M. Mendes,D. Aguirre Camblor,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RS
4992,1,2015-05-10,16:02:00,Sao Paulo,Flamengo,M. Cruz,V. Luxemburgo da Silva,Sao Paulo, Morumbi,2,1,SP,RJ
4993,1,2015-05-10,15:59:00,Cruzeiro,Corinthians,M. de Oliveira Santos,A. Bacchi,Corinthians,Arena Pantanal,0,1,MG,SP
4994,1,2015-05-10,15:59:00,Sport,Figueirense,E. Baptista,A. Fucks,Sport,Adelmar da Costa Carvalho,4,1,PE,SC
4995,1,2015-05-10,18:34:00,Avai,Santos,G. Kleina,M. Fernandes,-,  Ressacada,1,1,SC,SP
4996,1,2015-05-10,18:29:00,Vasco,Goias,D. Ghidoni Junior,H. Pinto dos Anjos,-,Estádio Vasco da Gama,0,0,RJ,GO
4997,2,2015-05-16,18:29:00,Goias,Athletico-PR,H. Pinto dos Anjos,M. Mendes,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,0,GO,PR
4998,2,2015-05-16,18:33:00,Coritiba,Gremio,M. dos Santos Gonçalves,L. Scolari,Coritiba, Couto Pereira,2,0,PR,RS
4999,2,2015-05-16,21:02:00,Corinthians,Chapecoense,A. Bacchi,V. Eutrópio,Corinthians,Estádio Doutor Adhemar de Barros,1,0,SP,SC
5000,2,2015-05-17,11:03:00,Figueirense,Vasco,A. Fucks,D. Ghidoni Junior,-, Orlando Scarpelli,0,0,SC,RJ
5001,2,2015-05-17,16:01:00,Atletico-MG,Fluminense,L. Culpi,S. Drubscky de Campos,Atletico-MG,Estádio Nacional de Brasília,4,1,MG,RJ
5002,2,2015-05-17,16:02:00,Flamengo,Sport,V. Luxemburgo da Silva,E. Baptista,-, Maracanã,2,2,RJ,PE
5003,2,2015-05-17,16:02:00,Santos,Cruzeiro,M. Fernandes,M. de Oliveira Santos,Santos,Estádio Urbano Caldeira,1,0,SP,MG
5004,2,2015-05-17,18:31:00,Joinville,Palmeiras,H. Maria,O. de Oliveira Filho,-,Arena Joinville,0,0,SC,SP
5005,2,2015-05-17,18:33:00,Ponte Preta,Sao Paulo,A. Ferreira,M. Cruz,Ponte Preta, Moisés Lucarelli,1,0,SP,SP
5006,2,2015-05-17,18:30:00,Internacional,Avai,D. Aguirre Camblor,G. Kleina,Internacional,Estádio José Pinheiro Borda,1,0,RS,SC
5007,3,2015-05-23,18:33:00,Sao Paulo,Joinville,M. Cruz,H. Maria,Sao Paulo, Morumbi,3,0,SP,SC
5008,3,2015-05-23,18:31:00,Vasco,Internacional,D. Ghidoni Junior,D. Aguirre Camblor,-,Estádio Vasco da Gama,1,1,RJ,RS
5009,3,2015-05-23,21:00:00,Gremio,Figueirense,J. Freitas,A. Fucks,Gremio,Arena do Grêmio,1,0,RS,SC
5010,3,2015-05-24,11:02:00,Palmeiras,Goias,O. de Oliveira Filho,H. Pinto dos Anjos,Goias,Allianz Parque,0,1,SP,GO
5011,3,2015-05-24,16:00:00,Chapecoense,Santos,V. Eutrópio,M. Fernandes,Chapecoense,Arena Condá,1,0,SC,SP
5012,3,2015-05-24,16:00:00,Athletico-PR,Atletico-MG,M. Mendes,L. Culpi,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,MG
5013,3,2015-05-24,16:00:00,Fluminense,Corinthians,E. Alves Moreira,A. Bacchi,-, Maracanã,0,0,RJ,SP
