partida_id,clube,atleta,minuto,tipo_de_gol
4987,Coritiba,Rafhael Lucas,3,Gol Normal
4987,Chapecoense,Roger Rodrigues da Silva,66,Gol Normal
4987,Chapecoense,Elicarlos,30,Gol Normal
4988,Palmeiras,Vitor Hugo Franchescoli de Souza,82,Gol Normal
4988,Atletico-MG,Jô,86,Gol Normal
4988,Atletico-MG,Patric Cabral Lalau,51,Gol Normal
4988,Palmeiras,Rafael Marques Mariano,100,Gol Normal
4989,Fluminense,Vinícius,88,Gol Normal
4990,Ponte Preta,Renato Cajá,62,Gol Normal
4990,Gremio,Matías Rodríguez,78,Gol Normal
4990,Ponte Preta,Diego Oliveira,100,Gol Normal
4990,Gremio,Yuri Mamute,54,Gol Normal
4990,Ponte Preta,Rildo de Andrade Felicissimo,64,Gol Normal
4990,Gremio,Yuri Mamute,25,Gol Normal
4991,Athletico-PR,Felipe de Oliveira Silva,66,Penalty
4991,Athletico-PR,Paulo Marcos de Jesus Ribeiro,69,Gol Contra
4991,Athletico-PR,Walter Henrique da Silva,14,Gol Normal
4992,Sao Paulo,Luís Fabiano,74,Gol Normal
4992,Flamengo,Éverton Cardoso da Silva,86,Penalty
4992,Sao Paulo,Alexandre Pato,80,Gol Normal
4993,Corinthians,Ángel Romero,82,Gol Normal
4994,Figueirense,Renê Rodrigues Martins,68,Gol Contra
4994,Sport,Régis,88,Gol Normal
4994,Sport,Diego Souza,78,Penalty
4994,Sport,Matheus Ferraz Pereira,20,Gol Normal
4994,Sport,Diego Souza,64,Penalty
4995,Santos,Robinho,27,Gol Normal
4995,Avai,Marquinhos Santos,64,Gol Normal
4997,Goias,Bruno Henrique,81,Gol Normal
4997,Goias,Bruno Henrique,55,Gol Normal
4998,Coritiba,Frickson Erazo,34,Gol Contra
4998,Coritiba,Thiago Galhardo,27,Gol Normal
4999,Corinthians,Fábio Santos,28,Gol Normal
5001,Atletico-MG,Jemerson de Jesus Nascimento,37,Gol Normal
5001,Fluminense,Fred,89,Penalty
5001,Atletico-MG,Jemerson de Jesus Nascimento,7,Gol Normal
5001,Atletico-MG,Luan Madson Gedeão de Paiva,81,Gol Normal
5001,Atletico-MG,Jesús Dátolo,53,Gol Normal
5002,Flamengo,Éverton Cardoso da Silva,100,Gol Normal
5002,Flamengo,Héctor Canteros,74,Gol Normal
5002,Sport,José Élber Pimentel da Silva,69,Gol Normal
5002,Sport,Diego Souza,100,Penalty
5003,Santos,Geuvânio,45,Gol Normal
5005,Ponte Preta,Renato Cajá,14,Gol Normal
5006,Internacional,Victor Vinícius Coelho Santos,63,Gol Normal
5007,Sao Paulo,Alexandre Pato,86,Gol Normal
5007,Sao Paulo,Michel Bastos,58,Gol Normal
5007,Sao Paulo,Matheus Dória Macedo,11,Gol Normal
5008,Vasco,Lucas Santos Siqueira,81,Gol Normal
5008,Internacional,Nilmar,100,Gol Normal
5009,Gremio,Braian Rodríguez,78,Gol Normal
5010,Goias,Victor Ramos,76,Gol Contra
5011,Chapecoense,Apodi,21,Gol Normal
5012,Athletico-PR,Douglas Coutinho,40,Gol Normal
5014,Flamengo,Gabriel Santana,51,Gol Normal
5014,Avai,Hugo da Silva Cabral,62,Gol Normal
5014,Avai,Hugo da Silva Cabral,47,Gol Normal
5015,Cruzeiro,Charles Fernando Basílio da Silva,82,Gol Normal
5015,Ponte Preta,Biro-Biro,85,Gol Normal
5016,Sport,Neto,29,Gol Normal
5017,Ponte Preta,Biro-Biro,48,Gol Normal
5017,Ponte Preta,Tiago dos Santos Alves,6,Gol Normal
5017,Chapecoense,José Gildeixon Clemente de Paiva,89,Gol Normal
5017,Ponte Preta,Renato Cajá,100,Gol Normal
5018,Avai,Anderson Lopes,1,Gol Normal
5018,Coritiba,Paulinho Moccelin,50,Gol Normal
5018,Avai,Roberto César Zardin Rodrigues,79,Gol Normal
5019,Athletico-PR,Douglas Coutinho,33,Gol Normal
5019,Athletico-PR,Nikão,30,Gol Normal
5019,Joinville,Rafael Costa,65,Gol Normal
5020,Sport,Samuel Xavier,100,Gol Normal
5020,Sport,Joelinton Cassio Apolinário de Lira,51,Gol Normal
5020,Santos,Werley Ananias da Silva,70,Gol Normal
5020,Santos,Robinho,43,Gol Normal
5021,Gremio,Giuliano Victor de Paula,36,Gol Normal
5021,Goias,Rodrigo Vasconcelos Oliveira,52,Gol Normal
5022,Atletico-MG,Thiago Ribeiro,44,Gol Normal
5022,Atletico-MG,Thiago Ribeiro,12,Gol Normal
5022,Atletico-MG,Jesús Dátolo,20,Gol Normal
5023,Palmeiras,Zé Roberto,100,Gol Normal
5023,Palmeiras,Rafael Marques Mariano,25,Gol Normal
5025,Flamengo,Alecsandro,37,Gol Normal
5025,Fluminense,Marcos Rogério Ricci Lopes,33,Gol Contra
5025,Fluminense,Fred,46,Gol Normal
5025,Fluminense,Fred,8,Penalty
5025,Flamengo,Eduardo da Silva,86,Gol Normal
5026,Figueirense,Carlos Alberto Gomes de Jesus,50,Gol Normal
5026,Figueirense,Marcos Roberto da Silva Barbosa,36,Gol Normal
5026,Cruzeiro,Henrique Pacheco Lima,41,Gol Normal
5027,Athletico-PR,Nikão,20,Gol Normal
5028,Ponte Preta,Tiago dos Santos Alves,39,Gol Normal
5028,Ponte Preta,Diego Oliveira,1,Gol Normal
5028,Ponte Preta,Borges,78,Gol Normal
5029,Chapecoense,Bruno César Pereira da Silva,29,Gol Normal
5029,Chapecoense,Ananias Elói Castro Monteiro,11,Gol Normal
5030,Sao Paulo,Michel Bastos,33,Gol Normal
5030,Santos,Ricardo Oliveira,47,Gol Normal
5030,Sao Paulo,Rogério Ceni,85,Penalty
5030,Santos,Ricardo Oliveira,100,Gol Normal
5030,Sao Paulo,Paulo Miranda,50,Gol Normal
5031,Cruzeiro,Manoel Messias Silva Carvalho,78,Gol Normal
5032,Atletico-MG,Antonio Carlos Capocasali,24,Gol Contra
5032,Atletico-MG,Lucas Pratto,68,Gol Normal
5032,Atletico-MG,Carlos Júnior,77,Gol Normal
5032,Atletico-MG,Carlos Júnior,13,Gol Normal
5032,Avai,André Lima,74,Gol Normal
5033,Corinthians,Stiven Mendoza,23,Gol Normal
5033,Gremio,Luan Guilherme de Jesus Vieira,39,Gol Normal
5033,Gremio,Marcelo Oliveira Ferreira,4,Gol Normal
5033,Gremio,Giuliano Victor de Paula,3,Gol Normal
5034,Fluminense,Marcos Júnior,88,Gol Normal
5034,Fluminense,Vinícius,30,Gol Normal
5035,Sport,Maikon Leite,100,Gol Normal
5036,Palmeiras,Vitor Hugo Franchescoli de Souza,64,Gol Normal
5036,Internacional,Rafael Moura,76,Gol Normal
5037,Cruzeiro,Marcos Antônio da Silva Gonçalves,72,Gol Normal
5037,Cruzeiro,Gabriel Xavier,46,Gol Normal
5037,Atletico-MG,Luan Madson Gedeão de Paiva,13,Gol Normal
5037,Cruzeiro,Jemerson de Jesus Nascimento,100,Gol Contra
5038,Flamengo,Gabriel Santana,65,Gol Normal
5039,Ponte Preta,Renato Cajá,72,Gol Normal
5039,Santos,Ricardo Oliveira,61,Penalty
5039,Ponte Preta,Felipe Azevedo,53,Gol Normal
5039,Santos,Geuvânio,23,Gol Normal
5040,Athletico-PR,Ytalo José dos Santos,100,Gol Normal
5040,Athletico-PR,Nikão,60,Penalty
5041,Corinthians,Jadson,31,Gol Normal
5042,Sao Paulo,Luís Fabiano,27,Gol Normal
5042,Sao Paulo,Rogério Ceni,56,Penalty
5043,Internacional,Victor Vinícius Coelho Santos,26,Gol Normal
5043,Internacional,Nilmar,36,Gol Normal
5044,Palmeiras,Gabriel Girotto Franco,11,Gol Normal
5044,Figueirense,Thiago Santos Santana,62,Gol Normal
5044,Figueirense,Carlos Alberto Gomes de Jesus,8,Gol Normal
5045,Avai,Rômulo,100,Gol Normal
5047,Santos,Gabriel Barbosa,54,Gol Normal
5047,Santos,Ricardo Oliveira,19,Gol Normal
5047,Atletico-MG,Werley Ananias da Silva,28,Gol Contra
5047,Atletico-MG,Jesús Dátolo,43,Gol Normal
5048,Flamengo,Eduardo da Silva,39,Gol Normal
5049,Sao Paulo,Josef de Souza Dias,6,Gol Normal
5050,Corinthians,Vágner Love,67,Gol Normal
5050,Corinthians,Jadson,51,Gol Normal
5050,Internacional,Nilmar,41,Gol Normal
5051,Joinville,Marcelinho Paraíba,79,Gol Normal
5051,Sport,Maikon Leite,39,Gol Normal
5051,Sport,Maikon Leite,16,Gol Normal
5052,Cruzeiro,Charles Fernando Basílio da Silva,58,Gol Normal
5052,Cruzeiro,Leandro Damião,74,Gol Normal
5052,Cruzeiro,Leandro Damião,38,Gol Normal
5052,Vasco,Rodrigo Baldasso da Costa,88,Gol Normal
5054,Figueirense,Marcos Roberto da Silva Barbosa,15,Gol Normal
5054,Avai,Anderson Lopes,36,Gol Normal
5055,Palmeiras,Jonatan Cristaldo,100,Gol Normal
5055,Palmeiras,Rafael Marques Mariano,100,Gol Normal
5055,Fluminense,Jean Raphael Vanderlei Moreira,17,Gol Normal
5056,Athletico-PR,Hernani Azevedo Junior,52,Gol Normal
5056,Gremio,Luiz Rhodolfo Dini Gaioto,71,Gol Normal
5056,Gremio,Giuliano Victor de Paula,33,Gol Normal
5058,Vasco,Duvier Riascos,42,Gol Normal
5058,Sport,Wendel Geraldo Maurício e Silva,81,Gol Normal
5058,Sport,André Felipe Ribeiro de Souza,20,Gol Normal
5059,Atletico-MG,Lucas Pratto,41,Gol Normal
5059,Atletico-MG,Samir,22,Gol Contra
5060,Santos,Ricardo Oliveira,10,Gol Normal
5061,Gremio,Maicon,55,Gol Normal
5062,Chapecoense,Camilo,36,Gol Normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,35,Gol Normal
5063,Goias,Wesley,26,Gol Normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,100,Gol Normal
5064,Athletico-PR,Edigar Junio,82,Gol Normal
5064,Athletico-PR,Walter Henrique da Silva,25,Gol Normal
5064,Coritiba,Ruy Franco de Almeida Junior,77,Gol Normal
5064,Coritiba,Wellington Paulista,19,Gol Normal
5065,Avai,André Lima,89,Gol Normal
5065,Sao Paulo,Josef de Souza Dias,55,Gol Normal
5066,Fluminense,Vinícius,100,Gol Normal
5066,Fluminense,Wellington do Nascimento Silva,55,Gol Normal
5067,Gremio,Luan Guilherme de Jesus Vieira,10,Gol Normal
5067,Gremio,Pedro Rocha Neves,1,Gol Normal
5067,Avai,Anderson Lopes,56,Penalty
